File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A2GF_061_ET_500m_doy2000001_aid0001,ET_500m,aid0001,2000-01-01,295722.0,0.4,29.6,"(0.4,29.6)",10.3003172,6.8159541,46.4572306,17.7,29.6,7.5,0.4,4.0
MOD16A2GF_061_ET_500m_doy2000009_aid0001,ET_500m,aid0001,2000-01-09,295722.0,2.8,28.2,"(2.8,28.2)",11.4675861,5.9393102,35.275406,17.8,28.2,8.8,2.8,6.2
MOD16A2GF_061_ET_500m_doy2000017_aid0001,ET_500m,aid0001,2000-01-17,295722.0,3.4,28.1,"(3.4,28.1)",11.6846971,5.8508255,34.2321592,17.8,28.1,9.0,3.4,6.5
MOD16A2GF_061_ET_500m_doy2000025_aid0001,ET_500m,aid0001,2000-01-25,295722.0,2.3,30.1,"(2.3,30.1)",11.842754,6.8084168,46.3545393,19.2,30.1,8.7,2.3,5.6
MOD16A2GF_061_ET_500m_doy2000033_aid0001,ET_500m,aid0001,2000-02-02,295722.0,3.0,31.2,"(3.0,31.2)",12.5214161,6.0581124,36.7007253,18.7,31.2,9.9,3.0,7.2
MOD16A2GF_061_ET_500m_doy2000041_aid0001,ET_500m,aid0001,2000-02-10,295722.0,1.7,34.9,"(1.7,34.9)",12.5746164,8.4897298,72.0755126,21.9,34.9,8.7,1.7,4.8
MOD16A2GF_061_ET_500m_doy2000049_aid0001,ET_500m,aid0001,2000-02-18,295722.0,0.5,37.8,"(0.5,37.8)",12.559186,9.5713867,91.6114435,23.1,37.8,8.1,0.5,3.7
MOD16A2GF_061_ET_500m_doy2000057_aid0001,ET_500m,aid0001,2000-02-26,295722.0,1.5,37.3,"(1.5,37.3)",12.8954457,9.1626036,83.9533039,22.9,37.3,9.2,1.5,4.3
MOD16A2GF_061_ET_500m_doy2000065_aid0001,ET_500m,aid0001,2000-03-05,295722.0,1.0,41.5,"(1.0,41.5)",13.532701,9.5328147,90.8745553,23.3,41.5,9.9,1.0,4.9
MOD16A2GF_061_ET_500m_doy2000073_aid0001,ET_500m,aid0001,2000-03-13,295722.0,1.0,43.2,"(1.0,43.2)",14.4401404,9.428256,88.8920117,23.3,43.2,11.5,1.0,6.2
